0.834	4	packing/tests/test_stromquist_memo1.py
1.122	23	packing/tests/test_suite_files.py
3.28	32	packing/tests/test_threshold_compression.py
0.042	8	packing/tests/test_threshold_separation.py
7.075	11	packing/tests/test_translation_escape_screen.py
9.14	5	packing/tests/test_trump_isolation_radius.py
0.158	5	packing/tests/test_uniform_cell.py
0.332	7	packing/tests/test_uniform_cell_check.py
0.878	38	packing/tests/test_unitsquare_precision.py
1.04	35	packing/tests/test_unitsquare_precision_production.py
1.09	27	packing/tests/test_unitsquare_precision_semantics.py
0.082	25	packing/tests/test_validation_report.py
1.287	5	packing/tests/test_validation_timing.py
0.026	16	packing/tests/test_verified_merge_tree.py
5.104	6	packing/tests/test_verified_upper_bound_contract.py
0.274	6	packing/tests/test_verify_residual_cover_pilot.py
0.009	10	packing/tests/test_wait_for_run_artifact.py
7.779	9	packing/tests/test_wall_owner_containment.py
0.381	21	packing/tests/test_wall_owner_parent_compatibility.py
0.238	8	packing/tests/test_wall_owner_six_dot_cover.py
4.419	10	packing/tests/test_wall_owner_sixth_site_feasibility.py
0.261	10	packing/tests/test_wall_owner_sixth_site_screen.py
0.176	72	packing/tests/test_weighted_threshold_atoms.py
0.103	8	packing/tests/test_witness_cli.py
0.005	4	packing/tests/test_witness_in_the_centre_domain.py
1.568	1	packing/tests/test_witness_interval.py
0.009	6	packing/tests/test_work_accounting.py
2.1	22	packages/workbench/tests/test_ascent_and_strategies.py
0.1	54	packages/workbench/tests/test_benchmark_admission.py
0.053	21	packages/workbench/tests/test_block_report.py
0.023	4	packages/workbench/tests/test_build_site_check.py
0.736	2	packages/workbench/tests/test_build_site_inputs.py
0.481	27	packages/workbench/tests/test_capture_and_export.py
6.084	2	packages/workbench/tests/test_catalogue_precision.py
0.071	74	packages/workbench/tests/test_check_layout.py
0.013	11	packages/workbench/tests/test_check_page_policy.py
0.1	28	packages/workbench/tests/test_citations.py
0.042	32	packages/workbench/tests/test_packing_validity.py
1.565	48	packages/workbench/tests/test_python_contract_repairs.py
1.868	7	packages/workbench/tests/test_record_reference_tolerance.py
0.022	32	packages/workbench/tests/test_self_contained.py
0.024	18	packages/workbench/tests/test_transitions.py
3.315	16	packing/tests/test_admit_fixed_support_dual.py
0.037	20	packing/tests/test_admit_threshold_atom_orbits.py
14.476	27	packing/tests/test_admit_threshold_compression.py
0.601	16	packing/tests/test_agenda_map.py
0.181	19	packing/tests/test_angle_near45_triangle_control.py
0.473	8	packing/tests/test_angle_near_axis_control.py
0.02	5	packing/tests/test_angle_source_control.py
0.286	13	packing/tests/test_angle_tile_certificate.py
0.057	6	packing/tests/test_audit_corner_dual_salvage.py
2.565	23	packing/tests/test_audit_ds7_lower_bounds.py
0.071	7	packing/tests/test_bench_colgen.py
1.685	55	packing/tests/test_bound_citations.py
3.067	8	packing/tests/test_bui_integer_count.py
0.015	10	packing/tests/test_bui_local_inequalities.py
3.431	60	packing/tests/test_campaign_runner_trust_boundary.py
0.073	23	packing/tests/test_case_prose.py
0.87	11	packing/tests/test_certificate_citations.py
12.01	20	packing/tests/test_certificate_reach.py
0.064	18	packing/tests/test_change_scoped_selection.py
0.367	22	packing/tests/test_check_angle_near45_triangle_control.py
